Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
424693,High,22,0.4545454545454545,16.0,0.5502019527634591,0.7738573312554009,0.8182973351357681,1,Unknown,-0.81009626,5.2564235,True Prime,General,,-1.6784935308924496,False
366683,Mid,20,0.4,14.0,0.6246873158892362,0.7738802341241268,0.8142098389288168,1,Unknown,4.997824,2.5183754,True Prime,General,,-1.6767033035567314,False
413263,Low,16,0.5,12.0,0.5868530776231716,0.7739168001099719,0.8180606733842767,1,Unknown,5.125783,3.6641505,True Prime,General,,-1.6738450839947645,False
424559,Mid,24,0.1666666666666666,14.0,0.5715510010269298,0.7739172000392911,0.8135713970551809,1,Unknown,2.1585608,5.421781,True Prime,General,,-1.6738138230899327,False
264013,High,22,0.4545454545454545,16.0,0.5503240519938032,0.7739340517072008,0.817746845072811,1,Unknown,2.705366,2.7752497,True Prime,General,,-1.6724965943660806,False
370663,Mid,12,0.6666666666666666,10.0,0.6058456899893261,0.7739459529193606,0.8148887120886956,1,Unknown,5.4653797,1.9838144,True Prime,General,,-1.6715663233335813,False
343481,Low,56,0.7142857142857143,48.0,0.7093728934679189,0.7739784478206818,0.8190950412664314,1,Unknown,4.224169,6.8266587,True Prime,General,,-1.6690263244664982,False
241489,Mid,42,0.0476190476190476,22.0,0.6145481985401473,0.7739959385140794,0.8129249497604527,1,Unknown,6.1681733,4.539473,True Prime,General,,-1.6676591456289518,False
245173,High,6,0.3333333333333333,4.0,0.5768727775190419,0.7741322965358981,0.8150377869819252,1,Unknown,3.820685,8.935699,True Prime,General,,-1.6570005743806873,False
432631,Low,24,0.5,18.0,0.6152297452373152,0.7741952473054678,0.8144618494738906,1,Unknown,0.18910101,3.0037408,True Prime,General,,-1.6520799598569262,False
271463,Low,20,0.2,12.0,0.5593672275158952,0.7741980937204203,0.8192707579862222,1,Unknown,-1.0767738,6.090054,True Prime,General,,-1.6518574667746146,False
347401,Mid,52,0.6153846153846154,42.0,0.6475705962958288,0.7742173169542532,0.8167317438507193,1,Unknown,4.5627646,8.933321,True Prime,General,,-1.650354862052883,False
479191,High,12,0.6666666666666666,10.0,0.6315462449139768,0.7742217545267505,0.8144830552509148,1,Unknown,5.038142,2.663842,True Prime,General,,-1.6500079944318926,False
327917,Low,34,0.6470588235294118,28.0,0.6093772494225834,0.7742571765391717,0.8138433782550853,1,Unknown,4.899056,5.270351,True Prime,General,,-1.6472391947814344,False
550471,Low,20,0.8,18.0,0.611697879707423,0.7742653942329024,0.8193245983962075,1,Low,3.2155273,1.8424481,True Prime,General,,-1.646596849923706,False
335689,Mid,12,0.3333333333333333,8.0,0.5976597281105204,0.7744494746183592,0.8181591834017379,1,Low,-0.3409006,6.1343784,True Prime,General,,-1.632208008859345,False
397633,Mid,46,0.5652173913043478,36.0,0.6314089056451326,0.7745170209531607,0.8169715070498452,1,Unknown,6.5260677,7.465293,True Prime,General,,-1.6269281770427928,False
331781,Mid,24,0.6666666666666666,20.0,0.5681772917588306,0.7746972242876733,0.8166160955430024,1,Unknown,0.7115475,4.4408736,True Prime,General,,-1.612842389830127,False
382357,Low,12,0.0,6.0,0.5574987340153433,0.7747029116837478,0.8171202196343142,1,Unknown,7.7721534,2.1257222,True Prime,General,,-1.612397828406684,False
215863,High,36,0.6666666666666666,30.0,0.6683228756990631,0.7747416472947768,0.8135215167850107,1,Unknown,7.825257,7.685961,True Prime,General,,-1.609370017761658,False
578419,Mid,34,0.2941176470588235,22.0,0.5895603633661846,0.7747784714726157,0.8192749667149194,1,Low,7.853021,6.736141,True Prime,General,,-1.6064916163451526,False
570637,Low,30,0.6,24.0,0.6076697417242055,0.7748631491407497,0.8156224690658092,1,Unknown,1.3217009,2.0971646,True Prime,General,,-1.599872695456555,False
328103,Low,16,0.25,10.0,0.5857120458507452,0.7748787150778551,0.8198810404097687,1,Unknown,5.2179236,1.7226835,True Prime,General,,-1.5986559672621226,False
249187,Low,18,0.3333333333333333,12.0,0.6249909135070351,0.7749104365358466,0.8129059978175024,1,Unknown,2.9713814,3.377777,True Prime,General,,-1.5961764254237225,False
475483,Mid,42,0.3333333333333333,28.0,0.6115040642206158,0.774983049562966,0.8199645079978576,1,Low,0.10636685,1.7845373,True Prime,General,,-1.590500550159601,False
381949,Mid,34,0.6470588235294118,28.0,0.6359171308472433,0.7750603648312014,0.8151539434944765,1,Unknown,2.6232917,4.507051,True Prime,General,,-1.5844571191676085,False
435949,High,26,0.8461538461538461,24.0,0.6106823402401631,0.7750772239455501,0.8151674307859548,1,Unknown,4.7674003,4.4169354,True Prime,General,,-1.5831393083848517,False
